,0
0,-0.18924983266587125
1,-0.32426265034730106
2,-0.7959780507275777
3,-0.7311308527336704
4,-0.9240971387047339
5,-1.738717359027435
6,-1.4597084617345104
7,-0.8440576964592663
8,-0.8181533285866398
9,-0.8773718103348365
10,-1.5661056950248662
11,-2.21844951818104
12,-2.8642859036584305
13,-3.5119355632777567
14,-4.168827683889724
15,-4.819045181273058
16,-5.432380351562658
17,-6.004016126057172
18,-6.499456120262397
19,-6.94208721869784
20,-7.401422915838462
21,-7.766211819595832
22,-8.085987537909471
23,-8.542612508865048
24,-8.786118808092613
25,-8.989922945375687
26,-9.179588265812717
27,-9.353080666714154
28,-9.503171596348306
29,-9.619577980171206
30,-9.68995568538423
31,-9.720317344610232
32,-9.719460590956496
33,-9.697288728253687
34,-9.656368509407592
35,-9.59767957293456
36,-9.52074961473476
37,-9.426215048425757
38,-9.314417662093787
39,-9.18679463815292
40,-9.045800900231047
41,-8.894554717120151
42,-8.735138882571132
43,-8.569280122672861
44,-8.4705918092329
45,-8.530298016298872
46,-8.567462490902715
47,-8.584918881545335
48,-8.58299933257606
49,-8.561782486624955
50,-8.523199555688056
51,-8.468213572772374
52,-8.396900347797338
53,-8.309191271095868
54,-8.208801952439064
55,-8.102664207542567
56,-7.987659217405893
57,-7.866723149447884
58,-7.741713874648583
59,-7.611682432042888
60,-7.475984347601024
61,-7.3344387876283035
62,-7.188736441256267
63,-7.039936356837769
64,-6.875948905547905
65,-6.693919371099943
66,-6.538997403171737
67,-6.355839029064521
68,-6.149034758511289
69,-5.924061764007629
70,-5.689662334901344
71,-5.454814452036535
72,-5.037140462582321
73,-4.823261599112243
74,-5.09535346999021
75,-5.544401658024101
76,-5.880172081837808
77,-5.965159128351111
78,-5.608924886566966
79,-5.177925092916204
80,-5.775614065553281
81,-6.5592614091369725
82,-7.456216316273085
83,-12.403702684822173
84,-20.286190958384292
85,-29.60301589182737
86,-40.31349254425663
87,-52.37096806571222
88,-49.336069225123225
89,-35.034337298880516
90,-56.110139970246394
91,-71.10646925901727
92,-80.59875425633527
93,-85.1891467386494
94,-85.47433987178397
95,-82.02424543568657
96,-77.98304400202755
97,-87.21016107611791
98,-94.52070743166249
99,-99.67877214245023
100,-102.38342488919827
101,-102.27463274149852
102,-98.91327363439986
103,-91.80738870255746
104,-80.43206009372341
105,-68.0192555245805
106,-88.71759631697915
107,-109.53116180871248
108,-130.06708663431112
109,-124.40535545003688
110,-111.13166283155596
111,-98.31194729798105
112,-86.03164049629895
113,-74.37056421811054
114,-63.405132065695724
115,-53.211844207461404
116,-43.86740138930914
117,-35.44579143081968
118,-28.015312966819415
119,-21.63699045700664
120,-17.973328100890424
121,-30.425679474010256
122,-43.90847743906993
123,-58.30893056082134
124,-50.60185853049628
125,-58.137839513992766
126,-80.14835250411082
127,-94.81227535522538
128,-102.83240607408185
129,-104.9508681761588
130,-101.9124219296016
131,-94.62743585675996
132,-108.06730052297407
133,-118.84144031937943
134,-126.52057070176842
135,-130.59237741770568
136,-130.46336925798363
137,-125.46543952299734
138,-114.87087842017883
139,-97.9168680962353
140,-90.3494022906488
141,-117.48405983970235
142,-144.57258938426332
143,-144.03304250851664
144,-131.21991871743904
145,-118.67111851632494
146,-106.45347425508069
147,-94.62576120000995
148,-83.23885429465643
149,-72.33550520158086
150,-61.950002493163595
151,-52.10812674219273
152,-53.45131530649455
153,-54.45344769371443
154,-55.03543757765795
155,-55.23761431897046
156,-55.09843149979582
157,-54.654485418091944
158,-53.940406515201914
159,-52.989005286645266
160,-51.831238242880566
161,-51.916678016693325
162,-50.33733190862554
163,-48.63381265475343
164,-46.830016084658986
165,-44.94770579699542
166,-43.01232075401446
167,-41.05198889117701
168,-39.095363831179036
169,-37.16938621164472
170,-35.77508579389385
171,-36.24502095704559
172,-36.48539517120793
173,-36.52470247687922
174,-36.389642840975675
175,-36.10491191225413
176,-35.69239588370964
177,-35.171636894671565
178,-34.559920649707124
179,-33.872252054234025
180,-33.12140815378341
181,-32.318231274154385
182,-31.472082697460884
183,-30.59098752682904
184,-29.68195132710092
185,-28.762936320377623
186,-27.838599253082858
187,-26.900278235893662
188,-25.952536342295343
189,-24.99944374999003
190,-24.0446213654937
191,-23.09128407312934
192,-22.14228025555343
193,-21.20013143853099
194,-20.267074581990183
195,-19.345088190113167
196,-18.435922697556684
197,-17.541118662129033
198,-16.66202827949875
199,-15.79983119900699
200,-14.955543353575264
201,-14.130041918318545
202,-13.324066963132752
203,-12.538236863414644
204,-11.773066952465415
205,-11.028972672108738
206,-10.306283328222943
207,-9.605238757656494
208,-8.925981598836795
209,-8.268565843046812
210,-7.632967032972504
211,-7.019090682236231
212,-6.426778960961977
213,-5.85581747943809
214,-5.305946938738638
215,-4.77686041120828
216,-4.268207516928167
217,-3.779605452047448
218,-3.310640034011368
219,-2.8608686884961076
220,-2.7806496458221983
221,-2.9622181902298355
222,-3.1338839045715936
223,-3.2962552676074854
224,-3.4499236213204387
225,-3.595462753554659
226,-3.7334294394960996
227,-3.8643623779996763
228,-3.9887821175697957
229,-4.107190879321458
