,0
0,-11.616659583664054
1,-24.164235336087998
2,-18.15240326817093
3,-26.56009473351797
4,-30.544099405141015
5,-50.94908100339514
6,-31.484310551898727
7,-40.367805724612346
8,-46.351519192779094
9,-55.978930865868676
10,-60.453193563169705
11,-55.89736345841838
12,-54.561449705876335
13,-62.06976674766548
14,-63.6197153317904
15,-58.462693879780815
16,-72.64812337310707
17,-96.00378959931365
18,-73.17532682348873
19,-92.5388465626635
20,-88.82862638336417
21,-95.77844574141574
22,-86.56753781631103
23,-89.74643488820573
24,-111.23411357306844
25,-131.7508817304002
26,-130.2231031517383
27,-155.3170149305716
28,-141.699293847529
29,-141.3288458260256
30,-134.2976544195154
31,-124.76211787851442
32,-121.97529293278907
33,-114.83242360520882
34,-125.1501794084054
35,-131.67827516044505
36,-123.19161354112025
37,-139.39435677828644
38,-97.19874152402247
39,-114.35409078180143
40,-156.16650757745293
41,-113.12565799384925
42,-142.55897040630418
43,-149.56189881860183
44,-127.26669931250277
45,-146.65738536546843
46,-106.95891125686362
47,-124.16216295996921
48,-147.3495155447755
49,-106.17015325857912
50,-90.64023151061448
51,-144.67319796853727
52,-136.17568002615212
53,-103.14339537655317
54,-105.49802823907166
55,-117.12519371415684
56,-156.94579002940134
57,-135.61627227255212
58,-101.21828278875492
59,-141.2236933297256
60,-153.089768119425
61,-121.50587265018898
62,-106.41839382356171
63,-110.58271783316624
64,-145.35720226236748
65,-131.53800548940086
66,-104.80211272534847
67,-130.53855913265875
68,-111.50582666050364
69,-106.20184440285591
70,-143.43590004673763
71,-155.80653499402922
72,-153.1790660251813
73,-122.72343649222802
74,-114.00848440758537
75,-146.8992376207841
76,-114.47906487727172
77,-110.84329079814609
78,-130.5098582253674
79,-155.0164438667918
80,-146.2681927787747
81,-128.5637263469677
82,-116.50150676539155
83,-115.59761776757644
84,-113.0120841533887
85,-128.2132655544913
86,-107.66237561255545
87,-138.60861229001472
88,-174.45035676284917
89,-161.50426764305016
90,-177.96196138578208
91,-202.90516739207126
92,-231.06061809014358
93,-247.52831810574344
94,-279.5231752269062
95,-318.6009157647404
96,-351.1687549833799
97,-336.38046781523224
98,-331.3999550470055
99,-325.6484945726246
100,-274.048492654318
101,-294.72536472328653
102,-252.01381630503317
103,-282.0534955537602
104,-241.96646794386376
105,-202.28069301787662
106,-158.30708968015563
107,-102.30627062304603
108,-126.13986078823444
109,-112.1044074444158
110,-77.39774433669211
111,-40.51179018858903
112,-35.691583503277315
113,-64.01921620039614
114,-72.44420548206686
115,-58.69862692932339
116,-81.26136785944949
117,-67.25800325371594
118,-86.91621961172038
119,-40.89923660979172
120,-50.18903888903492
121,-24.86231232374427
122,-71.49872698683556
123,-44.26076604257152
124,-58.02123087152975
125,-105.050720010074
126,-152.1464077340905
127,-190.89838044354087
128,-224.18903283273897
129,-249.92552862148463
130,-270.38163559033455
131,-290.6724311862725
132,-315.2189059302535
133,-331.9632568822988
134,-341.7430527338123
135,-298.44761781125464
136,-264.4667259861245
137,-218.92116402255164
138,-191.47871611808807
139,-145.1120573389749
140,-116.98616733744328
141,-86.91725019660919
142,-113.47393928960622
143,-119.48727451004154
144,-135.35447938957913
145,-116.97935652722234
146,-94.0046062707662
147,-105.23437962434261
148,-124.54379118326642
149,-141.66443172390922
150,-121.22533467795786
