,0
0,-20.400376761181942
1,-31.049854874685515
2,-36.122893759964946
3,-47.108399042064306
4,-57.23737437764662
5,-57.69140533726792
6,-53.3529546637383
7,-61.72561590555453
8,-59.8308223509861
9,-58.83834466336842
10,-76.74130893753038
11,-50.955882408472554
12,-60.79307158694139
13,-62.79828146268369
14,-63.92924056908505
15,-45.78644276068631
16,-71.47258488117835
17,-64.14831351134926
18,-85.12344782120465
19,-105.97164084713214
20,-100.15710257197512
21,-104.50615128629225
22,-119.67893755223646
23,-138.31730239180825
24,-155.68988210326293
25,-174.21058861889455
26,-128.97660710543767
27,-122.03811213674481
28,-74.8633270562781
29,-70.35974133946715
30,-84.00194894678268
31,-68.57712585428007
32,-59.921657550091005
33,-88.35574080496818
34,-59.14463398871871
35,-90.60382942654066
36,-106.43057046212286
37,-95.52020252691608
38,-89.8878923529616
39,-100.72148257867082
40,-97.48987912594353
41,-93.60424361863255
42,-88.38082842104801
43,-91.1178793705613
44,-66.3428733363085
45,-69.13283699894279
46,-61.815382581579385
47,-75.73766567074074
48,-65.04433392515638
49,-77.34596088230032
50,-64.82856841388158
51,-73.25217503926665
52,-62.81585305522518
53,-66.88986186338859
54,-71.99727623003201
55,-94.91868793821203
56,-87.74133257552629
57,-77.58772808127014
58,-92.61973175398884
59,-129.2698887134771
60,-166.9328670635951
61,-123.42449193479571
62,-114.64215630945823
63,-124.44872253150987
64,-135.4496612564464
65,-134.77121087100326
66,-80.79623037656367
67,-77.4625874046351
68,-104.28403138747977
69,-79.17500703068997
70,-115.47643029515476
71,-171.44932328347326
72,-138.72196604803463
73,-111.71826713272856
74,-117.09771582838268
75,-98.19797301964027
76,-94.50348925801676
77,-123.31047491494719
78,-171.87471206098178
79,-205.23983438305035
80,-170.45362848556613
81,-157.17824680325583
82,-134.34922684087877
83,-131.86188442645948
84,-145.3462196831694
85,-141.29374929680694
86,-149.5317028996418
87,-133.5326227919482
88,-124.71624107466684
89,-143.4457921027178
90,-143.94063097674044
91,-144.68207138629643
92,-141.44347210225405
93,-137.50826391220943
94,-127.97194729016373
95,-125.55026641235101
96,-121.79908803453195
97,-135.546154976134
98,-156.09065018365175
99,-170.57587401031395
100,-155.20829786603915
101,-142.13829950420592
102,-116.47416911360912
103,-129.6291602314364
104,-126.18495334959127
105,-126.36190884762786
106,-124.82698431295857
107,-154.44975953991064
108,-126.9661466080889
109,-122.89800250999672
110,-112.2111863673468
111,-134.65944816649653
112,-114.74868590116333
113,-120.28426813242928
114,-142.61290273023204
115,-119.3079511460853
116,-148.56353972590904
117,-139.49297810664868
118,-113.50746804085213
119,-134.5586099376057
120,-123.21012065868098
121,-122.87870543662441
122,-129.56089458659378
123,-129.56559012938695
124,-142.41450831135978
125,-115.88050804605481
126,-128.08704814043472
127,-134.90288750288656
128,-119.82999350775667
129,-126.97813113493504
130,-123.80693220119893
131,-128.72845413121323
132,-128.2083179875055
133,-134.4300154733668
134,-131.22071708046008
135,-157.60969410878602
136,-137.918177352829
137,-155.1020559362452
138,-160.0288833993758
139,-128.5725146898161
140,-141.9482378002318
141,-130.76368878991158
142,-137.98695714010432
143,-130.106774175239
144,-123.09836202147761
145,-118.85581273059267
146,-122.1503222530175
147,-147.4829659782078
148,-162.73139636811015
149,-172.27209657903825
150,-184.92482644738197
151,-189.81878318687785
152,-195.12781173345883
153,-188.52978013449757
154,-195.33799657165724
155,-199.8149002930548
156,-157.1801516565108
157,-115.04748726229683
158,-123.09869791975655
159,-124.22722327843823
160,-112.26422183818849
161,-126.80594439758119
162,-157.84160587420726
163,-135.60615347449652
164,-130.3886384900312
165,-162.99904364842175
166,-145.0538045544117
167,-131.63398904860432
168,-128.59627895518562
169,-133.60051929700953
170,-146.09752270522068
171,-157.48437757934371
172,-159.17198013673635
173,-127.16065566817468
174,-126.93079999668501
175,-131.99010197865755
176,-141.499629203598
177,-120.42936074727061
178,-132.4369634775941
179,-146.47102902897484
180,-141.5724516335242
181,-153.93156181347564
182,-140.8037191494788
183,-148.47079607541633
184,-150.17578452488686
185,-135.726976605247
186,-115.22935393828342
187,-128.41764496701674
188,-127.02852571662686
189,-126.1811667927825
190,-122.17139158244271
191,-131.1671491964901
192,-134.00301226531684
193,-138.82666322312252
194,-132.5442379936828
195,-124.24227186985199
196,-126.0875490661367
197,-152.44579890993475
198,-133.28319501724093
199,-127.97595013094228
200,-154.82308677366612
201,-156.31070178697763
202,-175.8483210654272
203,-170.14752457767378
204,-187.47955339941842
205,-149.34163282085137
206,-150.5955130857792
207,-149.1543737591823
208,-128.79288994876939
209,-120.17289145990055
210,-116.94989224940586
211,-117.61045810438638
212,-119.21346795680986
213,-124.50994571158462
214,-132.60697456854604
215,-129.21685041951707
216,-142.41916279326804
217,-137.92948226472484
218,-137.5387105020332
219,-136.25179454777262
220,-121.55472809013337
221,-137.37313523112132
222,-176.78523755555793
223,-192.3356600123628
224,-212.14832177719884
225,-225.79507944612718
226,-183.81853745919008
227,-180.66045306291522
228,-183.46748141324753
229,-150.01451441841115
230,-162.16662336949707
231,-175.0496850507259
232,-170.19563261461488
233,-173.9454665117425
234,-139.0015728945231
235,-139.9953016189644
236,-131.56622504424965
237,-145.42906293072326
238,-162.5994487407145
239,-173.2696133584893
240,-176.88101148525374
241,-154.99651604146453
242,-150.44354283557823
243,-154.4434717949099
244,-154.46726463776497
245,-146.36457650089622
246,-164.4178511452754
247,-163.72052113862878
248,-168.1166251035484
249,-178.44420139504427
250,-188.52191012868138
251,-202.94082449846064
252,-199.4321908590036
253,-203.20915716182205
254,-206.99058647794482
255,-198.85875580625367
256,-194.3735811566828
257,-189.6243388304681
258,-166.47118810999916
259,-154.63335191218698
260,-170.2545646875601
261,-181.70790191934054
262,-189.44171649922401
263,-184.5074204755931
264,-167.4542204675289
265,-195.1101048372945
266,-170.41430450535972
267,-156.0314741603851
268,-159.19558874694292
269,-173.81822237318448
270,-166.5308081407681
271,-169.55150121505545
272,-176.6138301886431
273,-172.82747556557985
274,-167.53767886800492
275,-161.64157399501747
276,-159.76512170044396
277,-150.44188972343173
278,-189.33940124471414
279,-206.7379543660143
280,-176.22203135388273
281,-157.23887340117523
282,-162.64072427573714
283,-172.79205226448855
284,-167.06133328105838
285,-193.34298921162772
286,-162.11835969821757
287,-170.35607873106707
288,-214.21786979917061
289,-214.10838614028347
290,-200.0483977151424
291,-182.30514844947228
292,-172.40321304563992
293,-160.13826935563256
294,-160.5761464357512
295,-156.5514577308787
296,-153.77682284540066
297,-145.6531683654977
298,-148.13774752087264
299,-148.00502159967596
300,-152.14593284487634
301,-160.5392817127729
302,-167.84872697311775
303,-151.66879978680788
304,-153.0818024161238
305,-144.87659346320987
306,-162.8575241266619
307,-156.58232605271314
308,-173.7551610835274
309,-196.64406671660188
310,-162.2127041903279
311,-150.26727586824387
312,-144.1718084081215
313,-147.284006608543
314,-143.8632522838077
315,-144.03829185038214
316,-144.32252674008237
317,-140.01317590273885
318,-137.15031663830447
319,-134.8091436624878
320,-132.03867112702
321,-140.26602969024282
322,-134.56036895645096
323,-133.6463718648126
324,-156.26786741041167
325,-143.7708008600611
326,-145.0852693342066
327,-178.12356815955502
328,-190.6352035523493
329,-194.745474282923
330,-196.8436834405682
331,-210.5414691439375
332,-205.0681150369793
333,-157.96411427228043
334,-145.58733281587908
335,-140.54221536116
336,-133.72090462454815
337,-124.88545565140872
338,-126.32599496855724
339,-128.49109646221916
340,-131.30947017592422
341,-131.76063028660673
342,-137.14472045840566
343,-138.6490975787394
344,-124.65765159155244
345,-131.9148683846142
346,-142.04585364534339
347,-149.80334782204105
348,-153.33070580527044
349,-147.4116634123677
350,-147.2837902488992
351,-165.5524681899602
352,-138.69022348552923
353,-148.44620097800106
354,-143.13488101756045
355,-182.42598243668618
356,-177.57451305396253
357,-159.36626254670247
358,-146.09913864248145
359,-135.55076932277262
360,-127.41547182290364
361,-116.49549512766114
362,-113.18435996613894
363,-119.11387064796486
364,-124.55975666213018
365,-119.3824210101596
366,-125.99934253319792
367,-135.21298277751464
368,-120.62495985733892
369,-137.70794907678675
370,-134.34727000843094
371,-160.5178636025838
372,-174.8199491166402
373,-185.50285748230274
374,-180.94180289072912
375,-175.48496061724077
376,-127.02083919184574
377,-160.38246413467155
378,-189.4447318293989
379,-172.2955226949071
380,-158.0856712249439
381,-138.70849945756078
382,-182.47868125685426
383,-163.47854016538764
384,-138.97770030055284
385,-121.37367294864825
386,-100.25764627038897
387,-92.58968784797943
388,-119.55157840647982
389,-154.0593055561464
390,-182.80573563922007
391,-221.77138948677924
392,-276.4409804425076
393,-231.67236832836778
394,-187.68386642258884
395,-142.9553686373075
396,-134.66918173353832
397,-146.47182823437626
398,-172.81827443691463
399,-180.36442830995088
400,-176.19735256264448
401,-185.24026205534318
402,-195.48414206958185
403,-195.24102892148795
404,-233.36720778221925
405,-183.7017119105123
406,-135.02291606582912
407,-162.8780111857835
408,-188.99956300722872
409,-217.76437669495792
410,-169.59964622546474
411,-197.43546037558542
412,-200.5542200963681
413,-207.5015517584035
414,-201.97472194100783
415,-197.78385171111202
416,-159.02796475107266
417,-158.24288970266875
418,-158.66133521272207
419,-168.60083376329686
420,-122.31439202224539
421,-164.25770673353475
422,-211.25101355754006
423,-258.41471512441683
424,-332.68941479174373
425,-439.0600492853686
426,-550.6903899514338
427,-657.5362927055185
428,-762.3840762373922
429,-872.4824576513925
430,-947.9151114567513
431,-1002.4973430189625
432,-1060.8235838993492
433,-1134.7895608354372
434,-1240.4464097669454
435,-1347.5059029442427
436,-1450.1587160808797
437,-1493.1827325412046
438,-1590.8317356575951
439,-1665.9405283938106
440,-1745.374104274876
441,-1832.9562264811796
442,-1917.5453268981512
443,-2004.4730936338306
444,-2090.0416657382457
445,-2150.5530410310316
446,-2206.1662359465927
447,-2264.528356155007
448,-2331.3906914680506
449,-2376.2358727775936
450,-2392.028049957161
451,-2425.0746186026918
452,-2476.619401273876
453,-2524.315988449002
454,-2571.6855597360927
455,-2620.828509029916
456,-2646.6662804008533
457,-2712.3208786790096
458,-2787.3274278523672
459,-2807.1112927443733
460,-2795.453328638553
461,-2865.2168480815167
462,-2934.198968079886
463,-2981.3597576420093
464,-3031.6098804668536
465,-3071.881173230524
466,-3098.873125733075
467,-3150.6167399396836
468,-3208.6898505836125
469,-3227.5773900134013
470,-3227.71149997002
471,-3218.081116890272
472,-3234.038963544673
473,-3257.268112882281
474,-3273.276248558471
475,-3288.1419317095847
476,-3330.8125743885407
477,-3324.6469030303174
478,-3321.3291250556304
479,-3312.960269340193
480,-3307.711147963064
481,-3306.991911783246
482,-3314.7636125225185
